'fecha';'flujo casa mes';'valor';'Forma de Pago';'idCategoria'
'2023-08-16';'Huevos';'21000';'efectivo';'MERCADO'
'2023-08-17';'agua panela';'20000';'efectivo';'COMIDAS AFUERA'
'2023-08-17';'helados';'3000';'efectivo';'COMIDAS AFUERA'
'2023-08-17';'arepas noche';'26000';'efectivo';'COMIDAS AFUERA'
'2023-08-17';'Bebidas';'10000';'efectivo';'COMIDAS AFUERA'
'2023-08-17';'pan';'3000';'efectivo';'MERCADO'
'2023-08-18';'mercado Origen';'112910';'Debito';'MERCADO'
'2023-08-18';'homcenter parlante lampara';'156700';'Debito';'COSAS DE CASA'
'2023-08-18';'Transferencia CTA Terapia Fisio';'200000';'Debito';'DEPORTE ENTRENO + INSCRIPCIONES'
'2023-08-20';'medicina';'35000';'Debito';'MEDICINA - MEDICO'
'2023-08-20';'salida famosta';'33350';'Debito';'COMIDAS AFUERA'
'2023-08-23';'Desayuno cafe y pan';'32000';'efectivo';'MERCADO'
'2023-08-23';'torta y cafe';'27000';'efectivo';'COMIDAS AFUERA'
'2023-08-23';'Helado';'1500';'efectivo';'COMIDAS AFUERA'
'2023-08-23';'pan y leche';'3300';'efectivo';'MERCADO'
'2023-08-24';'Almuerzo Yatuza';'36000';'Debito';'COMIDAS AFUERA'
'2023-08-24';'HGelados';'3000';'efectivo';'COMIDAS AFUERA'
'2023-08-24';'arepas noche tia';'32000';'Debito';'COMIDAS AFUERA'
'2023-08-24';'pan desayuno';'1000';'efectivo';'MERCADO'
'2023-08-24';'electrolit';'7500';'Debito';'COMIDAS AFUERA'
'2023-08-24';'pan con cafe';'4400';'Debito';'COMIDAS AFUERA'
'2023-08-25';'Mercado Origen';'28281';'Debito';'MERCADO'
'2023-08-28';'gasolina';'25000';'efectivo';'TRANSPORTE CARRO / MOTO'
'2023-08-28';'almuerzo mama';'10000';'efectivo';'COMIDAS AFUERA'
'2023-08-28';'hamburguesa mama';'30000';'Debito';'COMIDAS AFUERA'
'2023-08-28';'compra carro';'39000000';'Debito';'inversiones'
'2023-08-28';'libreria ';'148000';'Debito';'LIBROS'
'2023-08-28';'cafe juan valldez mama ';'10000';'Debito';'COMIDAS AFUERA'
'2023-08-28';'impuesto 4**10';'157432';'Debito';'inversiones'
'2023-08-29';'pago salud indepiendiente mama ';'336700';'Debito';'PAGO SALUD Y PENSIONES'
'2023-08-29';'almuerzo mama';'14000';'efectivo';'COMIDAS AFUERA'
'2023-08-29';'comida mama';'27500';'efectivo';'COMIDAS AFUERA'
'2023-08-29';'compra tofu y fruta en ara';'33850';'Debito';'MERCADO'
'2023-08-29';'desayuno mama';'7000';'efectivo';'COMIDAS AFUERA'
'2023-08-30';'desayuno mama';'14000';'efectivo';'COMIDAS AFUERA'
'2023-08-30';'almuerzo mama';'26000';'efectivo';'COMIDAS AFUERA'
'2023-08-30';'pan y arepas ';'3400';'efectivo';'COMIDAS AFUERA'
